A_ess,A_r_hat,k_ess,k_r_hat,tau_ess,tau_r_hat,v[1]_ess,v[1]_r_hat,v[2]_ess,v[2]_r_hat,v[3]_ess,v[3]_r_hat,epsilon,time,megabytes,gctime,gcpercent,allocations,sampler,Nsamples,Nadapt,delta,Nd
435.5509657387998,0.9994937028300316,161.99616342079014,0.999411405006435,151.17520811065233,1.0008140573723805,264.1497887805038,0.9993271098010456,497.03957970134724,0.9991475034312631,322.9290080667657,1.0025270882893358,0.1835235555937244,3.482975667,38.713064,0.110038093,0.03159312711902446,5033164,DHMCNUTS,2000,1000,0.8,10
525.1330333737808,1.0007380571342965,286.05053016098134,1.0013283267965174,287.5193033440491,1.0027205818507985,399.6047051040149,1.000088065933502,477.6303646722676,1.0015130616700514,479.62115086753215,1.0018471503542645,0.043873699999999946,8.799674533,0.950566,0,0,214015,CmdStanNUTS,2000,1000,0.8,10
239.46247406759048,0.9990149820494173,167.87226426061108,1.0114666301495707,140.73064723801974,1.0168234124703934,331.92177490074727,0.9990128711353542,287.10177634189625,0.998999696035648,267.12517659073245,0.9993073558922844,0.03990183091369785,41.803416251,2241.8999648,4.647114026,0.11116589127781712,395940967,AHMCNUTS,2000,1000,0.8,10
271.4247761284181,0.9990464488128669,122.45029422839866,1.0067458368037252,122.43426470417111,1.0036474003039857,196.46684032055344,1.0001534016495617,153.42341759485655,0.9990061087848588,90.23052649778666,1.0210110906462535,0.20525590413427977,1.279112054,38.7285664,0.084913911,0.06638504479295602,5038828,DHMCNUTS,2000,1000,0.8,10
139.7856448857206,1.0030971157917727,126.14992923266496,1.0033313121857719,111.44325086069237,1.005356229895593,248.48309424586122,1.0038454503481384,341.77943091051105,1.000187584140611,298.4240400383343,1.0043662415049635,0.0732315,3.626574033,0.9506428,0.026124821,0.007203719202276657,214015,CmdStanNUTS,2000,1000,0.8,10
467.196064804249,1.0024565675510144,404.9672641534584,1.0006435442148391,438.55603959702955,0.9991006464389018,223.46076247938265,1.0152312447115932,418.7200072847854,1.0062471386732563,381.5554745388611,1.0043103906273272,0.11258628045185555,32.617086077,1883.555592,3.900174468,0.11957458305112714,332401232,AHMCNUTS,2000,1000,0.8,10
425.9429192102106,1.0029210647105269,42.704428163498704,1.040617127826879,42.3624092551959,1.0379981201689192,265.5844418968923,0.9996093072679526,379.15964214344984,0.99909385988254,548.9328987134209,1.001474999711227,0.20450411138459937,1.330852522,39.3737488,0.090555408,0.06804315767754167,5118697,DHMCNUTS,2000,1000,0.8,10
69.44451798746461,1.023700369504857,63.476346514003595,1.0117569702096514,50.88866541196046,1.0177669489302605,78.93096203090299,1.0253224626270965,473.117158049755,1.000787927956964,400.83877571040125,1.0088108782462366,0.045832100000000014,4.323573712,0.9505117,0,0,214015,CmdStanNUTS,2000,1000,0.8,10
434.26675205442035,0.9989998278173623,289.37704562514375,0.9991242073018699,319.572988731157,0.9992244224450836,385.8472137818021,1.0002800925151931,383.57878625378294,0.9990426109222134,323.3575585404078,0.9993714314310554,0.08654151124243481,23.787995514,1431.6449936,2.825023818,0.11875838030730176,252271072,AHMCNUTS,2000,1000,0.8,10
130.83524337377432,1.0087473059530185,149.9619027875713,0.9999322766825061,120.13687170088915,1.0038497033332643,237.42246007632366,1.008488238780017,449.41147160675735,1.0050512182597473,278.1661711202913,1.0137081606470693,0.07684136622766363,2.311104639,69.1119728,0.140271076,0.060694385547464605,8965296,DHMCNUTS,2000,1000,0.8,10
135.2398359562117,1.0085687094023361,27.842927014949055,1.093208025391653,26.075450532077657,1.097016696052423,101.90566750582913,1.0286080278337901,301.2494226159834,1.0005831259283025,187.69038550843374,1.0028770997222751,0.08343780000000009,3.228738472,0.9506511,0.023794339,0.007369546715024246,214015,CmdStanNUTS,2000,1000,0.8,10
88.96432043128836,1.0461965089322054,21.476381327233025,1.0024054176287396,32.39826795536598,1.0097789394723393,150.13415590181827,1.012090539106959,103.11164779878744,1.0481162755072992,107.08716184974297,1.0474589693804706,0.29031536803588515,14.914763846,883.9229792,1.762548885,0.11817477656360607,155151325,AHMCNUTS,2000,1000,0.8,10
273.2212422328658,1.0066476292985307,50.080089921125484,1.0208504230687645,50.87106113713417,1.030537902456493,113.27332445918064,1.0045837183830832,376.6013635292161,1.0009415352857722,293.653748037616,0.998999630195411,0.24294174737255894,1.281306565,38.5426688,0.082513943,0.0643982831696488,5012707,DHMCNUTS,2000,1000,0.8,10
447.85986868248574,0.999836283067421,213.96398826456812,1.0123565969278874,182.10717882103046,1.0110358654764595,203.2623038568481,1.0238804449141883,299.7511989426756,1.001049885219419,379.27224949398436,1.0002894468957573,0.042728700000000015,4.6773869,0.9505148,0,0,214015,CmdStanNUTS,2000,1000,0.8,10
274.3945335707759,1.0111455872834005,276.464687706699,0.9991461166142305,290.66932543594913,1.0015809584035118,404.94272091455275,1.0058618290064931,295.96199418284084,1.0065690100253883,252.94059488800977,1.0113377392548426,0.18819988439967197,16.577161769,1026.7713472,1.558343158,0.0940054262433614,180480662,AHMCNUTS,2000,1000,0.8,10
229.84655790985218,1.0135529555828728,177.30655240130486,0.9995854988873898,172.02216938020695,1.000960763398226,478.31197503744966,1.0048167839326898,341.497463730277,1.01202883241277,265.9798775498071,1.0076138150054537,0.12419047288388103,1.993847584,59.3723968,0.107174532,0.053752620240404496,7703462,DHMCNUTS,2000,1000,0.8,10
